"INCIDENT_ID","FIRST_OCCURENCE_DATE","LAST_OCCURENCE_DATE","REPORT_DATE","INCIDENT_ADDRESS","GEO_X","GEO_Y","DISTRICT_ID","PRECINCT_ID","OFFENSE_CODE","OFENSE_TYPE_ID","OFENSE_CATEGORY_ID","MJ_RELATION_TYPE","SIZE_QTY_LBS","SIZE_QTY_GRAMS","RECORD_CREATED_DATETIME","RECORD_UPDATED_DATETIME"
"2017103812","2/8/2017 12:00:00 AM","2/8/2017 12:00:00 AM","2/14/2017 12:00:00 AM","4935 N YORK ST                                    ","3151484.00","1711832.00","2","212","2308    ","THEFT - FROM BLDG","Larceny","INDUSTRY","","","",""
"2017108633","1/25/2017 12:00:00 AM","1/25/2017 12:00:00 AM","2/16/2017 12:00:00 AM","3955 N ONEIDA ST                                  ","3166434.00","1706622.00","2","221","2303    ","THEFT - SHOPLIFT","Larceny","INDUSTRY","","","",""
"2017112609","2/18/2017 12:00:00 AM","2/18/2017 12:00:00 AM","2/18/2017 12:00:00 AM","665 N KALAMATH ST                                 ","3140468.00","1690010.00","1","123","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017117192","2/20/2017 12:00:00 AM","2/20/2017 12:00:00 AM","2/20/2017 12:00:00 AM","2209 W 32ND AVE                                   ","3136866.00","1702905.00","1","113","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017121252","2/21/2017 12:00:00 AM","1/1/1900 12:00:00 AM","2/21/2017 12:00:00 AM","2748 W ALAMEDA AVE                                ","3134512.00","1684158.00","4","412","2399    ","THEFT - OTHER","Larceny","INDUSTRY","","","",""
"2017131638","2/26/2017 12:00:00 AM","2/26/2017 12:00:00 AM","2/26/2017 12:00:00 AM","2390 S BROADWAY ST                                ","3144264.00","1670566.00","3","313","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017131868","2/26/2017 12:00:00 AM","2/26/2017 12:00:00 AM","2/26/2017 12:00:00 AM","5201 W 48TH AVE                                   ","3125451.00","1710769.00","1","111","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017135947","2/28/2017 12:00:00 AM","2/28/2017 12:00:00 AM","2/28/2017 12:00:00 AM","2707 W 38TH AVE                                   ","3134692.00","1705493.00","1","111","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017136467","2/27/2017 12:00:00 AM","2/27/2017 12:00:00 AM","2/28/2017 12:00:00 AM","2209 W 32ND AVE                                   ","3136866.00","1702905.00","1","113","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017146136","3/4/2017 12:00:00 AM","3/4/2017 12:00:00 AM","3/4/2017 12:00:00 AM","735 W BAYAUD AVE                                  ","3141364.00","1685836.00","3","311","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2017149809","3/5/2017 12:00:00 AM","3/5/2017 12:00:00 AM","3/6/2017 12:00:00 AM","4551 N LOGAN ST                                   ","3145386.00","1709148.00","1","112","1208    ","ROBBERY - RESIDENCE","Robbery-Street-Res","NON-INDUSTRY","","","",""
"2017151765","3/6/2017 12:00:00 AM","3/6/2017 12:00:00 AM","3/6/2017 12:00:00 AM","2207 N HOOKER ST                                  ","3132526.00","1698468.00","1","121","3563    ","DRUG - MARIJUANA CULTIVATION","Drug Offenses","NON-INDUSTRY","","","",""
